index,data_type,voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity,true_soh,soh_pred
0,train,4.1177363,0.06316619,-1.2759262,-0.38086462,0.725035,2978.5422,3.37321e-05,4.429854,0.31566733,0.09539297,-1.1653394,0.25630873,0.09001314,1026.108,-0.00039194635,4.3941035,3.235056561228164,1.0,
1,train,4.117416,0.06303455,-1.2717944,-0.38453138,0.72756034,2989.1162,3.3975142e-05,4.4302254,0.31499615,0.09562364,-1.16226,0.26393175,0.0896002,1021.70605,-0.00039534704,4.3872194,3.2329178549125173,0.9993388967781031,
2,train,4.117411,0.063103296,-1.268729,-0.38759115,0.7275624,2988.78,3.3793607e-05,4.4307737,0.3166279,0.09585321,-1.163107,0.2603647,0.08949699,1017.90607,-0.00039882187,4.389022,3.232105162526991,0.9990876825040572,
3,train,4.118088,0.062957734,-1.2591205,-0.3950986,0.72392416,2973.8,3.4062603e-05,4.4322405,0.3153185,0.0956287,-1.1640711,0.2623524,0.0888392,1012.2061,-0.000398171,4.377449,3.2311567556810163,0.9987945170437245,
4,train,4.117412,0.06329279,-1.2605213,-0.39495942,0.73206335,3007.5742,3.4585522e-05,4.442031,0.3158956,0.09636538,-1.1633122,0.26364285,0.08894134,1010.9081,-0.00040138548,4.3787513,3.229868272619223,0.9983962293979269,
5,train,4.1178694,0.06353936,-1.2517302,-0.4038166,0.73348707,3013.1042,3.452814e-05,4.4521017,0.31660286,0.09612526,-1.1631004,0.26263893,0.088545956,1006.7081,-0.00040429283,4.3701854,3.227260096084392,0.9975900065435602,
6,train,4.117807,0.062832996,-1.2496754,-0.40372396,0.727269,2987.6724,3.4594974e-05,4.4333076,0.3159102,0.096316695,-1.1621029,0.26408315,0.088162035,1002.8081,-0.00040552075,4.372425,3.2243297388065573,0.9966841932378658,
7,train,4.118773,0.06338182,-1.2393801,-0.41619164,0.7310278,3003.0803,3.4560253e-05,4.454548,0.3149301,0.09528995,-1.1644669,0.25866857,0.08622677,984.5061,-0.00040758203,4.359283,3.222648699197591,0.9961645610221224,
8,train,4.1180873,0.06289662,-1.240029,-0.41408303,0.7329119,3011.1304,3.4509314e-05,4.4446883,0.31494936,0.09579971,-1.1599977,0.26832643,0.08619377,983.9081,-0.00041320873,4.3484106,3.220876581273602,0.995616775259973,
9,train,4.1174955,0.06262731,-1.2429383,-0.40706694,0.7299016,2998.5002,3.5137553e-05,4.4338975,0.315716,0.0952531,-1.1618662,0.26282808,0.08664242,988.7081,-0.00040916476,4.351451,3.21806939370863,0.9947490353883998,
10,train,4.1177998,0.06245423,-1.2375131,-0.41274232,0.73005456,2998.8962,3.5390472e-05,4.434918,0.31532702,0.096170746,-1.159868,0.26661485,0.08705967,991.5041,-0.00040993225,4.3639717,3.21614800491455,0.9941551079692914,
11,train,4.119341,0.06267242,-1.2257578,-0.42533118,0.72583306,2981.7083,3.4949662e-05,4.4466867,0.31647173,0.09637818,-1.1624563,0.264388,0.08746914,993.4081,-0.00040903102,4.362082,3.213624454117298,0.9933750440818476,
12,train,4.1179943,0.06293592,-1.2380528,-0.41573885,0.7322978,3008.5483,3.486763e-05,4.444997,0.3142031,0.09533722,-1.1608719,0.2645318,0.08588926,981.8081,-0.00041081585,4.3515353,3.212166936519638,0.992924505561091,
13,train,4.118124,0.06278476,-1.231869,-0.42068782,0.7332405,3012.1982,3.471705e-05,4.445934,0.31599852,0.09606672,-1.1598891,0.2658728,0.086612426,986.5061,-0.00041444215,4.35513,3.2100560368275284,0.9922719977448726,
14,train,4.1185765,0.06253711,-1.2246593,-0.42556196,0.73219085,3007.9902,3.5174482e-05,4.4463286,0.31397015,0.09562997,-1.1584063,0.27020708,0.08576312,980.6061,-0.00041381232,4.3469596,3.208375565790338,0.9917525412824013,
15,train,4.1186066,0.06271948,-1.2253329,-0.42548138,0.73045355,3000.4844,3.5153305e-05,4.4463925,0.31446853,0.09548727,-1.1598848,0.26630434,0.085914634,980.8061,-0.0004118075,4.355724,3.2064365851512293,0.9911531759846358,
16,train,4.118074,0.062346034,-1.23002,-0.41971928,0.7298271,2997.9304,3.5173696e-05,4.4359727,0.31627402,0.09608393,-1.1604823,0.26557577,0.08666381,986.0061,-0.00041334322,4.3553467,3.2036497554010688,0.990291728990614,
17,train,4.120197,0.062489282,-1.2018253,-0.4478716,0.73059994,3001.2864,3.503551e-05,4.4592395,0.31478602,0.095926195,-1.1579813,0.27255517,0.0851295,971.0081,-0.00041961132,4.3353443,3.201983726048583,0.9897767366493817,
18,train,4.1180477,0.062370963,-1.2221555,-0.4297035,0.7375953,3030.0002,3.5114383e-05,4.4466476,0.31502017,0.096480094,-1.1535038,0.2761175,0.08518164,970.7061,-0.00042418184,4.343496,3.199496480240341,0.989007895128015,
19,train,4.117793,0.062255125,-1.2266744,-0.42004666,0.7302934,3000.0002,3.5597892e-05,4.4364166,0.31572407,0.09614256,-1.1584214,0.26833117,0.08641616,984.1101,-0.00041521603,4.3486238,3.197636712845188,0.9884330157217498,
20,train,4.117562,0.062074505,-1.2307003,-0.4190187,0.72297883,2970.0002,3.5459998e-05,4.426072,0.314692,0.09510663,-1.1596414,0.26768228,0.08542714,977.5061,-0.00041424952,4.342065,3.195457181172958,0.9877592928266539,
21,train,4.1177506,0.0627185,-1.2245796,-0.42406306,0.7345083,3017.6423,3.5750712e-05,4.4466543,0.3150972,0.09597922,-1.1582913,0.2696196,0.08605733,980.3061,-0.0004151942,4.3491697,3.1929782686682144,0.9869930272427834,
