index,data_type,voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
0,train,4.0989614,0.059157297,-1.2647716,0.05724242,0.5953044,1226.0541,0.00013677265,3.535664,0.31222627,0.092631,-1.0984576,0.32886547,0.06626628,769.82806,-0.00056674326,4.091009,3.2270276679866523
1,train,4.100484,0.06154546,-1.2797996,0.045252685,0.61398035,1264.4722,0.00013455689,3.5823023,0.3110948,0.09330176,-1.095755,0.33340442,0.06647996,771.6361,-0.0005662014,4.0988026,3.22447302053467
2,train,4.099361,0.060512707,-1.2706305,0.054595027,0.6104671,1257.2561,0.00013361932,3.5588095,0.31143525,0.093332365,-1.0958185,0.33340177,0.066603035,772.63806,-0.0005652829,4.098677,3.2213386687019843
3,train,4.100344,0.06050903,-1.2738063,0.049742736,0.6072188,1250.5901,0.0001368315,3.5589497,0.31180975,0.09336671,-1.0956663,0.33284947,0.06687102,776.4361,-0.0005663905,4.100556,3.2187882493231896
4,train,4.0983963,0.05916546,-1.2625835,0.06080302,0.5949145,1225.2642,0.00013939531,3.5355468,0.31223,0.09343028,-1.0960659,0.33246458,0.06689747,775.1361,-0.0005634712,4.1009636,3.216045067282716
5,train,4.0991726,0.059174746,-1.2639337,0.058367807,0.5944538,1224.3241,0.00013703066,3.5352318,0.31236166,0.0933741,-1.0957544,0.33288664,0.066836156,773.3381,-0.000564547,4.099136,3.213260646669243
6,train,4.098425,0.06050335,-1.2665434,0.06060689,0.6102163,1256.7661,0.00013493198,3.5582192,0.31264552,0.093385205,-1.0964131,0.33236,0.06689255,773.2361,-0.0005629982,4.0993824,3.210707434689532
7,train,4.0990996,0.060413685,-1.2672265,0.05779099,0.60924876,1254.8181,0.00013493198,3.5588472,0.31323913,0.09346013,-1.0964013,0.33133698,0.067313194,779.1341,-0.00056382583,4.102886,3.208213138361136
8,train,4.0983696,0.059262853,-1.2622676,0.062237285,0.5951544,1225.6841,0.00013887066,3.5348198,0.31414184,0.093524285,-1.0964622,0.33109236,0.06754824,779.9361,-0.0005635583,4.103772,3.205594920675454
9,train,4.101548,0.0605255,-1.2765487,0.045620847,0.60173744,1239.2301,0.00013658631,3.5597904,0.3129296,0.09420948,-1.0940402,0.33586574,0.067848444,783.8341,-0.00056411145,4.111266,3.203271043897708
10,train,4.097138,0.060282044,-1.2592955,0.06747637,0.6079429,1252.0402,0.00013834666,3.5586376,0.3129786,0.094092876,-1.093934,0.33551762,0.06792438,785.1341,-0.0005623282,4.1124554,3.2007514862009003
11,train,4.0990934,0.06047303,-1.2655277,0.058214694,0.6088962,1253.9982,0.00013493265,3.5586624,0.3135022,0.0941961,-1.0942252,0.33530042,0.068167165,787.7341,-0.00056375796,4.1142373,3.19829796022149
12,train,4.098091,0.059142865,-1.2589045,0.06343141,0.5936746,1222.6542,0.00014070465,3.536113,0.3136873,0.094205335,-1.0946321,0.3350185,0.06810856,785.7361,-0.0005627655,4.112594,3.196149276084662
13,train,4.101181,0.06045285,-1.2736721,0.047610287,0.60194975,1239.7781,0.00013780748,3.5592968,0.31156835,0.092388704,-1.0959618,0.33117446,0.066982105,779.6361,-0.0005596641,4.1036925,3.193950602524955
14,train,4.09735,0.06040099,-1.262514,0.06452519,0.6084199,1253.0941,0.00013782132,3.5579555,0.3104105,0.09299953,-1.0935237,0.33647007,0.067149974,780.7381,-0.0005599744,4.1088305,3.191245696996664
15,train,4.100555,0.06166279,-1.2797877,0.047640022,0.6109367,1258.2361,0.00013691772,3.581218,0.31122342,0.09312882,-1.093219,0.33559018,0.067574576,785.7341,-0.0005572481,4.112629,3.189114603000628
16,train,4.0988526,0.06050454,-1.265025,0.061295595,0.60864395,1253.5281,0.00013650932,3.5586436,0.3110618,0.093021095,-1.0937798,0.33529618,0.067411534,783.1341,-0.00055907585,4.111977,3.186756853804932
17,train,4.09953,0.0604231,-1.2668487,0.05807971,0.6060457,1248.1881,0.00013654094,3.5587778,0.31166473,0.093078986,-1.0936395,0.33522284,0.06770606,786.4361,-0.00055728835,4.1134515,3.184574245249563
18,train,4.1002836,0.06030729,-1.2667575,0.055395737,0.6031068,1242.0502,0.0001389766,3.5591102,0.31225014,0.09312825,-1.0953102,0.3341644,0.067868724,787.1341,-0.00055644277,4.114147,3.182290128602022
19,train,4.101233,0.060484465,-1.2734802,0.04828804,0.60077703,1237.2382,0.0001381766,3.5600483,0.31090042,0.093809456,-1.0903119,0.337633,0.0680922,790.03406,-0.00055669143,4.1369896,3.1802074084417025
20,train,4.0977635,0.060449667,-1.2630478,0.06322296,0.6079745,1252.0641,0.00013703066,3.558193,0.3114656,0.093775235,-1.0914251,0.33972645,0.068256594,791.0301,-0.0005567615,4.122343,3.178068897832305
21,train,4.1004944,0.061628934,-1.2772622,0.048487782,0.6098791,1255.9841,0.00013566385,3.5818448,0.31171447,0.09373522,-1.090871,0.33906615,0.06843567,793.53406,-0.0005566888,4.1236186,3.1759657154151744
22,train,4.1010413,0.06166758,-1.2803482,0.04489869,0.60834026,1252.8121,0.00013674525,3.5819333,0.31176224,0.09361555,-1.0908312,0.33855638,0.06855041,795.6321,-0.00055583974,4.1254306,3.1740565601076924
23,train,4.0971174,0.059225198,-1.2567264,0.06914554,0.5934641,1222.1721,0.00014464665,3.5352,0.31214178,0.09360124,-1.0916333,0.33883455,0.06838601,790.6321,-0.0005556174,4.1222014,3.1716705545861843
24,train,4.098342,0.059298027,-1.2598764,0.06393503,0.5936144,1222.4161,0.00014044398,3.5355837,0.31268826,0.0936428,-1.0927434,0.33764547,0.06872518,795.03406,-0.0005555106,4.1241064,3.1697282647176093
25,train,4.0989237,0.059268646,-1.2592674,0.06402604,0.59320575,1221.5381,0.00014149665,3.5348449,0.31314725,0.09364601,-1.0918179,0.33739653,0.06896036,797.7301,-0.00055610196,4.1254845,3.167783113221707
26,train,4.0975404,0.060383733,-1.2591187,0.06659791,0.60702336,1249.9741,0.00013913198,3.558593,0.31183785,0.09426489,-1.088351,0.34141847,0.06916748,800.2341,-0.00055513735,4.1410465,3.165856764354246
27,train,4.0979056,0.060479343,-1.2614182,0.064298026,0.6075839,1251.1401,0.00013939531,3.5578792,0.31175634,0.094194315,-1.088625,0.34252375,0.069243945,802.2361,-0.00055430864,4.133811,3.164038261404217
28,train,4.096312,0.059221566,-1.2559098,0.07158252,0.59324616,1221.6521,0.00014208915,3.535316,0.3121795,0.09425384,-1.0896231,0.34185162,0.06930467,801.53406,-0.0005540928,4.1356316,3.162098153538682
29,train,4.0968165,0.059186917,-1.2551159,0.06956224,0.59243524,1219.9221,0.00014044416,3.5349288,0.31276947,0.094236,-1.0890374,0.3416011,0.06971778,807.2381,-0.0005545599,4.137379,3.1602301924032954
30,train,4.097719,0.059292708,-1.2568023,0.068148606,0.5929672,1221.0421,0.00014254532,3.5352256,0.31291023,0.09424962,-1.0897913,0.3409184,0.06955161,803.2461,-0.00055162754,4.1349926,3.1581860620473923
31,train,4.1003838,0.060467888,-1.2679646,0.055367738,0.6013995,1238.5862,0.00014065576,3.5587041,0.31276682,0.09415781,-1.0899298,0.34095332,0.06965855,806.0421,-0.00055389147,4.13597,3.15653898891683
32,train,4.1013594,0.06052371,-1.2728077,0.04960334,0.598241,1231.9841,0.00014012249,3.5593796,0.31119195,0.0924446,-1.0915959,0.33759138,0.06843907,795.8421,-0.0005489002,4.1243224,3.154642667536621
33,train,4.0997868,0.06171488,-1.2757736,0.053450726,0.6103919,1257.1962,0.00013974811,3.5816748,0.313183,0.09411482,-1.0895058,0.3404647,0.069841094,807.8421,-0.0005510243,4.1379805,3.153143980858019
34,train,4.097954,0.060533773,-1.2621326,0.06438451,0.6070502,1250.3782,0.00014018398,3.558856,0.31325522,0.09403512,-1.0907965,0.34034246,0.06991261,808.9441,-0.00055035844,4.1379557,3.1513706027535
35,train,4.1007414,0.06169308,-1.2783989,0.047436856,0.6071798,1250.6342,0.00013825484,3.581712,0.31124806,0.0923216,-1.092485,0.3376902,0.06861628,799.1421,-0.00054683065,4.127197,3.149542014637723
36,train,4.0991497,0.06054349,-1.264348,0.060788017,0.6044514,1244.9541,0.00013940407,3.5581148,0.31084237,0.09306126,-1.0896895,0.34225827,0.06915251,804.4461,-0.0005479544,4.1351047,3.1476856506789783
37,train,4.100347,0.06055159,-1.2695016,0.05359976,0.6005544,1236.9462,0.0001426936,3.5588133,0.31108272,0.09299543,-1.0892311,0.3424198,0.06913199,802.9421,-0.0005474424,4.134612,3.1456097072904448
38,train,4.0985217,0.059279744,-1.2575163,0.065119505,0.5917611,1218.7222,0.00014317498,3.5354235,0.31139255,0.09298868,-1.0890521,0.3418735,0.06930093,804.94006,-0.00054764206,4.136773,3.144026085347223
39,train,4.101541,0.060545795,-1.2730415,0.04862331,0.5963157,1228.1941,0.000141249,3.5598965,0.31015247,0.09361978,-1.0848787,0.3459196,0.069658056,810.33606,-0.00054748903,4.1513786,3.142487151154785
40,train,4.0997567,0.061732467,-1.2735856,0.05339903,0.60941124,1255.1802,0.00013932426,3.5817268,0.31194183,0.09290639,-1.0882523,0.34096834,0.06963256,809.1401,-0.0005464099,4.1387663,3.140684989157171
41,train,4.100574,0.061731048,-1.276849,0.05006678,0.6068665,1249.9501,0.00014013822,3.5817156,0.3105725,0.09341453,-1.0855207,0.34494263,0.06984862,812.3381,-0.00054652814,4.1461034,3.138896243187121
42,train,4.099647,0.060521502,-1.265457,0.05887607,0.6020426,1239.8761,0.00014376848,3.5585315,0.31156477,0.093508534,-1.0867699,0.34324762,0.07001061,811.0401,-0.0005457345,4.1499104,3.1371675618383743
43,train,4.09672,0.059222914,-1.2526312,0.071195334,0.5916481,1218.6261,0.00014372665,3.535256,0.31171587,0.09344849,-1.087653,0.3425287,0.07040507,818.3381,-0.0005439398,4.150252,3.135466384870598
44,train,4.0998716,0.060560293,-1.267002,0.05778941,0.6010207,1237.7401,0.00014226812,3.5583138,0.31253555,0.09354704,-1.0879396,0.3424672,0.07052603,817.0361,-0.00054578105,4.148852,3.133687731834174
45,train,4.0980873,0.05924438,-1.2540466,0.06923228,0.5913107,1217.8302,0.00014438332,3.5355504,0.3124539,0.093476176,-1.0878103,0.34282422,0.0705577,818.0381,-0.00054461265,4.150569,3.132266533224012
46,train,4.10064,0.060574014,-1.2692506,0.054368068,0.59817165,1232.0321,0.00014226472,3.5589635,0.31106558,0.09400547,-1.084466,0.34817,0.070796415,821.8321,-0.00054080324,4.1556487,3.130812347149249
47,train,4.09735,0.060414433,-1.2553642,0.07095368,0.6052574,1246.5502,0.00014202132,3.558171,0.31171584,0.09400602,-1.0842869,0.34774145,0.0709304,821.5361,-0.00054194336,4.1572742,3.128814297264812
48,train,4.0996003,0.06175657,-1.2722397,0.05570751,0.6084977,1253.2642,0.0001424638,3.5816357,0.31209263,0.09403835,-1.0841569,0.3465765,0.07130871,827.4361,-0.00054250634,4.1610665,3.1275431488511827
49,train,4.097758,0.060623277,-1.258878,0.06899853,0.6068382,1249.7281,0.00013965931,3.5585227,0.31262508,0.09397768,-1.0850108,0.34591162,0.071387306,826.5341,-0.00054062804,4.1605363,3.125466721320935
50,train,4.0966744,0.05915921,-1.2508196,0.07397154,0.5905659,1216.1802,0.00014504249,3.5353198,0.3132742,0.09396211,-1.0863849,0.3442956,0.07170023,829.8321,-0.00054022117,4.1621885,3.1238829338052043
51,train,4.099654,0.060483534,-1.2627182,0.062034726,0.6003578,1236.3641,0.00014377796,3.559127,0.31312937,0.093867615,-1.0862763,0.34483194,0.07155337,827.5321,-0.000539799,4.1616845,3.122348767376709
52,train,4.0994816,0.06058706,-1.2633913,0.06020788,0.6008937,1237.4541,0.00014454957,3.5588577,0.30987367,0.09286938,-1.0846139,0.3461247,0.070460446,820.4361,-0.00053754833,4.160832,3.120915038499214
53,train,4.100188,0.060637187,-1.2670901,0.05781513,0.59879106,1233.1742,0.00014540252,3.5589588,0.3102852,0.09282476,-1.0853592,0.34587106,0.07069634,823.3361,-0.00053725176,4.158471,3.1195336579507096
54,train,4.098125,0.059311498,-1.2555503,0.06799434,0.59099483,1217.2281,0.00014438265,3.5357955,0.31032604,0.09274794,-1.0850503,0.34611917,0.07080452,825.3341,-0.0005377208,4.159191,3.1181291319406514
55,train,4.09868,0.059351373,-1.2540611,0.06970891,0.5911244,1217.3682,0.0001449191,3.5352836,0.30965406,0.09337533,-1.0821788,0.3497913,0.07142878,833.7361,-0.00053719594,4.1698966,3.1164449030830905
56,train,4.099638,0.061673485,-1.269598,0.057393838,0.60680336,1249.6041,0.00014470235,3.5816092,0.31004074,0.093356095,-1.082138,0.3474418,0.07134075,830.0321,-0.0005359393,4.1767244,3.114649169555256
57,train,4.097326,0.06054368,-1.2549452,0.071319304,0.6054582,1246.8462,0.00014333398,3.558472,0.31040362,0.0934128,-1.0835454,0.34687614,0.07148394,831.3321,-0.0005358452,4.16818,3.113138207706166
58,train,4.098625,0.060475063,-1.257766,0.067301415,0.6020701,1239.8842,0.00014246098,3.5587947,0.31068105,0.09340015,-1.0849118,0.3467395,0.07170187,834.4321,-0.0005329306,4.171176,3.111711552285562
59,train,4.0985494,0.060606655,-1.259998,0.06574584,0.60275245,1241.2942,0.00014233256,3.558444,0.3108415,0.0932892,-1.0853611,0.34741262,0.07175904,834.8281,-0.00053194084,4.170839,3.1101056664070628
60,train,4.099258,0.060642857,-1.2625518,0.061793026,0.6004506,1236.5221,0.00014591443,3.5587623,0.31129715,0.093264624,-1.0847418,0.3480108,0.07195898,836.7301,-0.00053148216,4.1717253,3.1085589866277363
61,train,4.099456,0.060648654,-1.2623407,0.06381091,0.5997041,1234.9822,0.0001459381,3.5581703,0.3100514,0.09386769,-1.0802516,0.35289013,0.07220013,840.0301,-0.00053160475,4.184172,3.1071863123148598
62,train,4.0996847,0.060660135,-1.2644596,0.059986595,0.5990445,1233.6461,0.00014558669,3.5586839,0.31180844,0.093181334,-1.0828074,0.34771216,0.072162524,838.4301,-0.0005321343,4.172814,3.105670447612579
63,train,4.10064,0.06055551,-1.266183,0.056586217,0.5951128,1225.5681,0.0001456452,3.5596523,0.31051636,0.093700305,-1.0804129,0.35171136,0.072479375,843.5341,-0.00053181127,4.181745,3.10448063690416
64,train,4.1005225,0.06067998,-1.2682261,0.055967312,0.5958687,1227.1582,0.0001456329,3.5583408,0.31091368,0.09364134,-1.0820878,0.35015836,0.072573096,843.5281,-0.00053061976,4.1823916,3.1029604560706927
65,train,4.098463,0.059292328,-1.2510992,0.07107472,0.5897409,1214.5101,0.00014648399,3.5350578,0.31132963,0.093631774,-1.0830564,0.34936246,0.07274444,845.0241,-0.0005293666,4.181715,3.101412142048613
66,train,4.097291,0.060611222,-1.2546972,0.07260374,0.6051328,1246.1821,0.00014385865,3.557963,0.31179595,0.093581036,-1.0821999,0.34958154,0.07303271,848.6241,-0.00052942696,4.184768,3.099966424790719
67,train,4.097532,0.06055633,-1.2541186,0.0722762,0.6046126,1245.0881,0.00014438332,3.5580125,0.31043965,0.094055735,-1.0794983,0.35350034,0.07329177,852.9241,-0.00052823295,4.191027,3.09867734608561
68,train,4.0981283,0.060656607,-1.2581135,0.07018411,0.6030348,1241.8221,0.00014310068,3.5579407,0.3105469,0.09403616,-1.0797281,0.35345578,0.07320365,850.6241,-0.0005281073,4.18989,3.097128367041148
